numtaxa,nretics_true,nretics_est,nretics_inside,nretics_outside,nretics_duplicated,constraint_sizes,estRFerror,gauss_error,constraint_error_sum,replicate_num
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,5.234501729197888,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,1.0236861463878015,24.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,4.070704355602528,32.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",46.0,1.4917024866029502,28.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,2.518024030118856,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",40.0,0.6333661732594534,24.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.0371324626202023,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,0.8704357548253212,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",8.0,2.0062658083714053,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.35021476447272515,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",44.0,2.4982655868041004,18.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,1.1079250256103774,30.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,1.2519421283275307,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.5112090080592789,16.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.1409350355979533,14.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",10.0,0.904983657224435,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,1.5317721617676447,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",42.0,1.6427495423817104,30.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",18.0,0.8610829660358296,14.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,1.2738747442728788,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,1.0607262246945721,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",4.0,0.29898345959230077,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,1.8950608836832514,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,0.7404619284577773,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",16.0,0.042378718044855844,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,0.7107074400518144,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,0.914610460434147,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.6499107207481221,18.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,2.644265370432154,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.32377612484169505,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,1.4868179545907223,14.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.7464961582618588,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,2.02052480537872,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.9859727555482277,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",12.0,1.125858758095259,8.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.09475732809470873,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,0.7959294131470139,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",36.0,0.9720241924855517,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",2.0,0.2700862767622777,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,1.5878660925459764,2.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",30.0,0.7062048647408748,22.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",16.0,2.1869880898412175,14.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,0.4571237751567392,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.903942196484101,14.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",28.0,1.7117534529077658,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",10.0,0.40095798277340744,8.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",24.0,0.7156523075581924,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.611777233372742,10.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.895737309647404,20.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",44.0,2.6853324274606276,22.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",26.0,1.6879931920576516,16.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,2.8185388302901577,14.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",14.0,0.20952167087093293,6.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,2.695346693220888,22.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.106675717794553,24.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,0.6008720167277,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",28.0,2.2513374491860816,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",16.0,0.7910644151338644,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",32.0,1.4582675848787412,22.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,0.26010927724351723,14.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,5.179913828883345,24.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",38.0,0.7771503465121793,30.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",12.0,0.20845995837716613,8.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",6.0,0.6641720249169802,4.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",36.0,1.7538970281666528,26.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",12.0,0.8073012662092374,10.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",20.0,0.04383154462298343,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",8.0,1.2638168771487068,6.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,3.139054450144493,30.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",38.0,2.5006681810179567,24.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,0.11296760050153407,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",6.0,0.6699810370678021,6.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",30.0,0.11345845849517672,20.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,6.210440437558461,14.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",8.0,1.2342261064104652,4.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",12.0,0.5611822218860131,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",54.0,1.6335507710117643,36.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",0.0,0.27784922590939326,0.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",22.0,1.3522383891273122,10.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",26.0,0.9226040877019384,22.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",10.0,1.1622886037537303,4.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,2.8760815069026653,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",14.0,0.3403710255300109,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",18.0,1.1451443022955448,16.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",8.0,0.15213541368331823,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",32.0,0.7831806494298319,24.0,1
50,2,-1.0,2,0,0,"11,9,13,8,10",-1.0,6.229808353634787,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",14.0,0.12496870041730773,12.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",4.0,0.787657755765032,2.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",40.0,0.9101759143705938,30.0,1
50,2,2.0,2,0,0,"11,9,13,8,10",6.0,0.0014662145750369633,6.0,1
