net_id,hwcd,sum_constraint_hwcd,gauss_sd,nretics_est,major_tree_only,m,force_unrooted
n50r2,-1.0,-1.0,-1.0,2.1701392357408524,true,15,false
n50r2,34.0,26.0,34.0,2.2478665980616817,true,15,false
n50r2,44.0,38.0,44.0,3.0878789875126245,true,15,false
n50r2,-1.0,-1.0,-1.0,4.2600321765972256,true,15,false
n50r2,-1.0,-1.0,-1.0,5.644230353703994,true,15,false
n50r2,-1.0,-1.0,-1.0,4.546757498396186,true,15,false
n50r2,-1.0,-1.0,-1.0,2.854318454405718,true,15,false
n50r2,-1.0,-1.0,-1.0,4.727842566681403,true,15,false
n50r2,-1.0,-1.0,-1.0,4.792339063695399,true,15,false
n50r2,54.0,48.0,54.0,2.2907429415215774,true,15,false
n50r2,18.0,16.0,18.0,0.45152943744367907,true,15,false
n50r2,-1.0,-1.0,-1.0,5.699918620017052,true,15,false
n50r2,-1.0,-1.0,-1.0,3.9391222936744303,true,15,false
n50r2,-1.0,-1.0,-1.0,3.4856507406637003,true,15,false
